complexity_score,lines_of_code,import_count,function_count,label
1,9,0,0,0
20,111,0,16,0
1,6,0,0,0
3,38,0,9,0
1,15,0,5,0
3,19,0,2,0
10,42,0,6,0
5,33,0,4,0
4,44,0,3,0
6,43,0,5,0
8,83,0,10,1
2,11,0,2,0
4,34,0,6,0
2,13,0,2,0
1,10,0,2,0
1,10,0,2,0
1,11,0,0,0
11,74,1,5,0
1,4,0,1,0
2,24,0,4,0
3,33,0,6,0
2,18,0,1,0
18,75,0,5,0
4,46,0,6,0
6,59,0,8,0
6,82,0,11,0
7,63,0,10,0
10,75,0,13,0
3,41,0,2,0
1,10,0,1,0
1,4,0,1,0
4,40,0,6,0
7,65,0,5,0
2,13,0,3,0
6,30,0,3,0
5,31,0,2,0
8,35,0,0,0
1,1,0,0,0
4,37,0,4,0
2,44,0,5,1
4,39,0,6,0
11,121,0,18,0
2,28,0,6,0
13,92,0,8,0
62,530,0,50,0
1,64,0,2,0
53,457,0,26,0
168,908,0,95,0
34,222,0,24,0
18,161,0,15,0
3,30,0,5,0
6,68,0,15,0
3,55,0,11,1
1,98,0,22,1
5,51,0,10,0
1,23,0,5,0
2,92,0,30,0
11,262,0,59,0
23,314,0,69,0
4,109,0,23,0
3,109,0,23,0
1,155,0,36,0
33,940,0,214,0
1,53,0,12,1
4,425,0,80,1
5,168,0,41,0
1,65,0,18,0
20,643,0,115,0
19,432,0,77,1
10,692,0,153,1
11,478,0,87,1
22,701,0,126,0
1,36,0,9,0
1,16,0,3,0
5,97,0,21,0
4,50,0,12,1
3,32,0,6,1
3,47,0,9,1
2,75,0,14,0
5,88,0,14,0
3,47,0,10,0
2,121,0,25,0
2,145,0,29,0
2,87,0,19,1
1,56,0,14,0
1,135,0,28,0
2,16,0,4,0
3,86,0,19,0
10,84,0,21,0
2,82,0,18,0
1,23,0,5,0
7,78,0,18,0
4,30,0,6,0
1,40,0,8,0
1,139,0,32,0
2,36,0,8,0
2,95,0,19,1
5,93,0,20,0
1,49,0,11,0
3,233,0,49,0
8,402,0,70,0
3,205,0,54,0
1,17,0,4,0
6,146,0,33,0
20,259,0,56,0
19,52,0,8,0
1,31,0,7,0
12,262,0,41,0
8,174,0,33,0
2,277,0,58,0
11,489,0,101,0
23,749,0,144,1
2,34,0,8,0
1,99,0,20,0
8,156,0,36,0
1,88,0,19,0
1,74,0,16,0
10,223,0,54,1
21,505,0,141,1
8,94,0,22,0
6,106,0,20,0
1,42,0,9,0
2,33,0,8,0
3,64,0,12,0
1,41,0,11,0
1,15,0,3,0
1,87,0,24,1
1,25,0,7,1
1,18,0,5,0
1,18,0,5,0
1,39,0,11,0
5,119,0,27,0
1,39,0,11,0
1,60,0,17,0
1,39,0,11,0
5,86,0,21,0
1,42,0,12,0
9,93,0,25,0
1,2,0,0,0
4,28,0,7,1
3,72,0,10,0
63,214,0,42,1
3,52,0,10,0
1,70,0,13,1
1,40,0,5,1
27,623,0,113,0
1,1,0,0,0
67,459,0,50,0
115,1472,0,336,0
140,598,0,85,1
38,80,0,10,0
8,46,0,5,0
13,126,0,14,0
17,150,0,16,0
16,123,0,13,0
5,83,0,7,0
1,105,0,35,0
206,2617,0,534,0
1,1,0,0,0
7,41,0,7,0
1,20,0,4,0
7,32,0,6,0
1,44,1,0,0
7,31,4,5,0
10,23,3,0,0
16,335,10,0,0
30,215,2,33,0
7,29,0,3,0
10,240,0,0,0
16,223,0,17,0
1,1,0,0,0
8,26,0,3,0
5,44,1,1,0
69,164,3,26,0
6,188,2,1,0
2,62,3,1,0
3,70,2,2,0
2,38,4,0,0
1,22,2,0,0
1,33,2,0,0
1,2,1,0,0
2,3,1,0,0
1,58,2,0,0
9,64,4,6,0
205,676,0,11,1
1,43,1,0,1
15,127,9,6,0
1,45,2,0,0
2,23,0,2,0
15,51,0,8,0
4,37,4,0,0
